op_id,airport_code,date,total_departures,total_arrivals,cancelled_flights,diverted_flights,avg_dep_delay_min,avg_arr_delay_min,on_time_pct,capacity_utilization_pct,ground_stops,gate_holds,runway_closures
OP0000023,ATL,2023-01-23,685,684,13,3,17.0,16.0,68.1,97.1,1,0,1
OP0000024,ATL,2023-01-24,734,736,12,2,11.9,12.0,78.3,89.8,1,0,0
OP0000025,ATL,2023-01-25,692,685,13,1,14.6,18.4,79.9,93.5,0,3,1
OP0000026,ATL,2023-01-26,749,754,13,2,17.5,18.8,68.2,85.8,0,0,0
OP0000027,ATL,2023-01-27,747,749,15,1,18.1,18.4,73.5,81.7,0,5,0
OP0000028,ATL,2023-01-28,823,817,15,1,20.5,24.5,61.6,90.1,0,1,0
OP0000029,ATL,2023-01-29,805,803,19,2,9.2,11.9,83.1,91.6,0,3,0
OP0000030,ATL,2023-01-30,742,748,20,3,18.2,22.3,66.4,84.5,0,1,0
OP0000031,ATL,2023-01-31,709,710,9,1,23.0,25.3,58.0,92.7,0,5,0
OP0000032,ATL,2023-02-01,733,741,10,2,20.3,20.2,62.9,91.1,0,3,0
OP0000033,ATL,2023-02-02,690,688,12,2,9.2,13.6,85.7,90.8,0,2,0
OP0000034,ATL,2023-02-03,844,838,17,2,16.6,19.9,70.3,84.0,1,4,0
OP0000035,ATL,2023-02-04,756,756,16,2,19.1,21.1,69.2,83.4,0,0,0
OP0000036,ATL,2023-02-05,763,754,12,1,19.8,23.4,58.9,87.3,1,0,0
OP0000037,ATL,2023-02-06,744,754,20,2,10.0,10.4,87.0,94.0,0,2,0
OP0000038,ATL,2023-02-07,735,728,16,2,19.6,24.6,62.5,89.0,1,3,0
OP0000039,ATL,2023-02-08,734,742,13,2,22.0,24.1,60.6,92.6,0,5,0
OP0000040,ATL,2023-02-09,711,703,16,2,6.9,9.6,86.5,85.6,0,1,0
OP0000041,ATL,2023-02-10,789,788,11,2,21.3,26.6,55.5,91.1,1,2,0
OP0000042,ATL,2023-02-11,774,766,14,2,10.9,14.0,79.0,92.1,0,0,0
OP0000043,ATL,2023-02-12,804,814,7,2,16.3,18.8,67.9,85.3,0,0,0
OP0000044,ATL,2023-02-13,688,691,8,2,12.5,15.9,78.2,91.2,0,5,0
OP0000045,ATL,2023-02-14,713,714,13,3,13.3,16.5,76.9,89.0,0,3,0
OP0000046,ATL,2023-02-15,780,770,18,2,18.3,16.9,64.0,92.8,0,2,0
OP0000047,ATL,2023-02-16,719,725,9,2,10.1,11.8,82.4,86.7,1,0,0
OP0000048,ATL,2023-02-17,809,817,21,3,14.9,18.4,72.9,91.5,1,2,0
OP0000049,ATL,2023-02-18,824,828,19,3,13.2,18.9,75.0,85.3,0,2,0
OP0000050,ATL,2023-02-19,802,800,21,2,9.0,16.8,83.0,90.4,1,4,0
OP0000051,ATL,2023-02-20,761,768,16,1,15.1,19.3,69.0,86.2,0,3,0
OP0000052,ATL,2023-02-21,737,742,11,2,23.5,21.7,59.2,90.1,1,3,0
OP0000053,ATL,2023-02-22,699,698,10,0,0,4.6,94.4,89.2,0,1,0
OP0000054,ATL,2023-02-23,740,733,14,2,14.4,18.2,80.3,91.0,0,1,0
OP0000055,ATL,2023-02-24,786,778,12,2,20.0,22.7,67.1,93.0,0,1,0
OP0000056,ATL,2023-02-25,835,845,17,2,11.5,11.6,78.2,94.0,1,0,0
OP0000057,ATL,2023-02-26,786,780,14,3,12.5,11.9,76.4,96.5,0,3,1
OP0000058,ATL,2023-02-27,755,754,13,3,15.1,14.5,70.0,88.3,1,1,0
OP0000059,ATL,2023-02-28,688,685,13,2,14.0,16.3,73.2,88.2,1,4,0
OP0000060,ATL,2023-03-01,716,708,17,3,13.0,14.1,71.8,86.8,0,2,0
OP0000061,ATL,2023-03-02,678,682,11,1,9.8,14.0,82.3,85.0,0,1,0
OP0000062,ATL,2023-03-03,796,791,10,1,14.4,18.7,72.7,89.8,0,1,0
OP0000063,ATL,2023-03-04,758,764,12,2,19.5,25.1,64.3,91.5,0,1,0
OP0000064,ATL,2023-03-05,853,849,15,3,4.1,7.1,86.9,88.9,0,2,0
OP0000065,ATL,2023-03-06,695,703,8,1,8.8,12.6,79.4,91.3,0,2,0
OP0000066,ATL,2023-03-07,741,737,17,2,11.1,17.5,76.6,86.9,0,1,0
OP0000067,ATL,2023-03-08,722,725,15,1,12.5,10.4,79.8,90.7,0,1,0
OP0000068,ATL,2023-03-09,752,753,11,2,10.4,17.2,84.3,97.0,0,2,0
OP0000069,ATL,2023-03-10,800,800,11,2,18.7,18.7,60.7,90.9,0,1,0
OP0000070,ATL,2023-03-11,761,758,16,2,9.2,13.2,81.1,92.1,0,1,0
OP0000071,ATL,2023-03-12,792,785,13,2,15.6,18.1,73.9,86.1,0,2,0
OP0000072,ATL,2023-03-13,689,683,16,2,14.3,17.4,74.4,92.7,0,2,0
OP0000073,ATL,2023-03-14,727,718,14,2,17.2,19.0,68.8,94.7,0,2,0
OP0000074,ATL,2023-03-15,721,717,12,1,14.3,16.0,79.2,85.7,0,0,0
OP0000075,ATL,2023-03-16,778,769,16,1,12.9,18.6,76.0,93.4,0,1,0
OP0000076,ATL,2023-03-17,814,824,10,2,15.9,18.3,72.6,91.6,0,0,0
OP0000077,ATL,2023-03-18,792,792,14,2,16.9,20.8,72.1,87.9,0,1,0
OP0000078,ATL,2023-03-19,816,820,20,2,17.5,21.7,66.1,87.0,0,2,0
OP0000079,ATL,2023-03-20,779,772,12,2,11.3,13.8,80.5,89.1,0,0,0
OP0000080,ATL,2023-03-21,699,706,11,1,17.5,25.1,70.0,89.3,0,1,0
OP0000081,ATL,2023-03-22,714,716,8,2,13.7,18.8,74.5,89.1,0,1,0
OP0000082,ATL,2023-03-23,726,730,14,2,18.9,24.3,65.1,93.3,0,0,0
OP0000083,ATL,2023-03-24,789,799,15,1,10.1,14.9,77.7,89.2,0,2,0
OP0000084,ATL,2023-03-25,809,811,10,3,18.6,23.2,67.7,89.8,0,1,0
OP0000085,ATL,2023-03-26,872,865,13,2,16.1,19.2,69.4,89.8,0,0,0
OP0000086,ATL,2023-03-27,739,746,15,2,9.8,9.9,82.5,90.1,0,2,0
OP0000087,ATL,2023-03-28,768,777,8,3,15.4,18.8,71.8,90.4,0,2,0
OP0000088,ATL,2023-03-29,690,699,9,1,18.7,21.1,63.4,89.9,0,1,0
OP0000089,ATL,2023-03-30,733,734,6,2,17.1,20.2,66.4,87.8,0,1,0
OP0000090,ATL,2023-03-31,780,790,10,1,16.4,19.3,68.2,88.7,0,1,0
OP0000091,ATL,2023-04-01,825,816,8,3,14.5,19.1,74.5,87.7,0,0,0
OP0000092,ATL,2023-04-02,806,799,7,2,17.9,23.2,65.7,88.6,0,1,0
OP0000093,ATL,2023-04-03,727,728,6,2,14.5,13.6,74.2,90.3,0,0,0
OP0000094,ATL,2023-04-04,696,692,9,2,11.3,14.2,78.1,88.6,0,0,0
OP0000095,ATL,2023-04-05,666,664,12,1,2.0,3.7,93.2,89.5,0,0,0
OP0000096,ATL,2023-04-06,726,730,14,1,14.8,17.3,71.3,85.9,0,0,0
OP0000097,ATL,2023-04-07,743,741,13,1,16.4,17.0,68.4,95.1,0,1,0
OP0000098,ATL,2023-04-08,773,772,7,2,17.8,19.3,67.5,86.1,0,1,0
OP0000099,ATL,2023-04-09,741,741,12,1,0,2.8,99,82.5,0,0,0
OP0000100,ATL,2023-04-10,753,762,10,2,19.1,17.6,66.5,86.0,0,1,0
OP0000101,ATL,2023-04-11,701,695,12,2,13.7,18.1,72.1,86.9,0,2,0
OP0000102,ATL,2023-04-12,707,714,6,2,11.0,12.7,77.5,89.8,0,1,0
OP0000103,ATL,2023-04-13,731,731,16,3,16.9,20.2,70.7,93.0,0,2,0
OP0000104,ATL,2023-04-14,758,767,4,1,3.1,9.5,98.7,94.4,0,2,0
OP0000105,ATL,2023-04-15,743,735,10,1,19.1,24.5,65.5,90.7,0,1,0
OP0000106,ATL,2023-04-16,784,776,13,3,15.4,19.0,77.7,92.0,0,2,0
OP0000107,ATL,2023-04-17,686,694,6,1,14.1,13.9,81.6,85.0,0,0,0
OP0000108,ATL,2023-04-18,719,713,8,1,12.8,15.0,74.0,88.3,0,0,0
OP0000109,ATL,2023-04-19,747,752,12,2,20.1,24.9,61.8,90.5,0,0,0
OP0000110,ATL,2023-04-20,702,704,11,2,12.3,13.5,77.4,86.6,0,0,0
OP0000111,ATL,2023-04-21,813,808,13,3,14.8,19.0,73.7,93.9,0,0,0
OP0000112,ATL,2023-04-22,873,863,5,1,7.5,10.9,83.2,85.7,0,1,0
OP0000113,ATL,2023-04-23,767,761,17,2,11.3,13.1,82.7,90.7,0,0,0
OP0000114,ATL,2023-04-24,707,716,8,2,6.2,9.7,87.5,89.1,0,1,0
OP0000115,ATL,2023-04-25,701,706,13,1,12.1,15.4,79.8,89.2,0,2,0
OP0000116,ATL,2023-04-26,748,740,8,1,6.9,12.3,88.8,91.0,0,0,0
OP0000117,ATL,2023-04-27,722,721,13,1,20.1,26.8,66.8,89.8,0,2,0
OP0000118,ATL,2023-04-28,796,791,10,2,12.0,14.0,74.8,91.4,0,1,0
OP0000119,ATL,2023-04-29,873,883,1,2,10.4,14.0,79.3,86.8,0,0,0
OP0000120,ATL,2023-04-30,814,815,12,2,10.2,10.9,78.1,86.8,0,2,0
OP0000121,ATL,2023-05-01,707,704,10,3,12.9,17.4,76.0,91.7,0,1,0
OP0000122,ATL,2023-05-02,712,722,10,3,11.3,13.4,79.0,86.3,0,0,0
OP0000123,ATL,2023-05-03,695,702,5,1,8.1,8.6,91.5,88.3,0,0,0
OP0000124,ATL,2023-05-04,765,774,12,2,11.0,10.7,81.2,93.0,0,0,0
OP0000125,ATL,2023-05-05,817,810,12,1,4.8,10.8,93.5,89.3,0,2,0
OP0000126,ATL,2023-05-06,798,789,13,1,13.1,19.2,77.4,94.2,0,1,0
OP0000127,ATL,2023-05-07,767,764,12,2,7.0,11.4,89.7,88.1,0,1,0
OP0000128,ATL,2023-05-08,700,707,10,3,4.2,3.3,90.6,91.6,0,0,0
OP0000129,ATL,2023-05-09,701,692,8,1,2.8,6.4,97.9,90.4,0,0,1
OP0000130,ATL,2023-05-10,717,708,11,2,11.9,15.5,81.1,88.0,0,1,0
OP0000131,ATL,2023-05-11,713,704,7,1,9.1,11.0,83.5,93.1,0,1,0
OP0000132,ATL,2023-05-12,843,851,7,1,11.0,16.6,74.4,87.7,0,2,0
OP0000133,ATL,2023-05-13,779,780,5,2,3.2,7.0,93.1,91.7,0,0,0
OP0000134,ATL,2023-05-14,848,845,12,3,9.6,12.8,77.8,89.2,0,2,0
OP0000135,ATL,2023-05-15,763,772,6,2,11.9,14.2,84.8,92.0,0,1,0
OP0000136,ATL,2023-05-16,718,727,14,3,8.2,7.1,82.7,84.8,0,0,0
OP0000137,ATL,2023-05-17,710,701,2,1,11.9,13.2,79.9,89.5,0,2,0
OP0000138,ATL,2023-05-18,729,739,11,1,15.1,15.5,74.4,82.3,0,0,0
OP0000139,ATL,2023-05-19,780,787,20,2,13.4,16.5,78.2,92.3,0,2,0
OP0000140,ATL,2023-05-20,825,819,9,1,16.0,18.5,70.1,89.9,0,2,0
OP0000141,ATL,2023-05-21,733,738,13,2,0.1,4.9,99,94.5,0,0,1
OP0000142,ATL,2023-05-22,708,711,14,2,19.5,22.6,59.0,94.9,0,0,0
OP0000143,ATL,2023-05-23,722,712,7,1,13.5,19.8,72.8,90.6,0,1,0
OP0000144,ATL,2023-05-24,678,678,4,1,7.4,12.3,88.0,92.4,0,2,0
OP0000145,ATL,2023-05-25,729,728,11,3,15.3,18.2,72.7,96.8,0,2,0
OP0000146,ATL,2023-05-26,764,755,11,1,10.1,11.0,82.5,87.8,0,2,0
OP0000147,ATL,2023-05-27,782,785,6,2,9.8,12.6,83.2,92.8,0,2,0
OP0000148,ATL,2023-05-28,799,806,1,3,14.9,16.0,75.0,85.2,0,1,0
OP0000149,ATL,2023-05-29,695,686,7,1,9.0,14.4,86.4,89.3,0,2,0
OP0000150,ATL,2023-05-30,752,746,6,4,13.0,21.3,72.3,91.7,0,1,0
OP0000151,ATL,2023-05-31,702,698,9,1,9.8,12.1,80.2,90.9,0,0,0
OP0000152,ATL,2023-06-01,787,782,11,2,6.7,10.6,88.0,86.2,0,3,0
OP0000153,ATL,2023-06-02,792,794,19,1,11.8,14.2,78.8,93.2,0,2,0
OP0000154,ATL,2023-06-03,800,802,8,3,9.9,15.4,87.9,87.2,0,1,0
OP0000155,ATL,2023-06-04,791,795,20,3,13.0,16.2,68.0,85.3,0,5,0
OP0000156,ATL,2023-06-05,780,784,15,2,11.1,15.4,80.5,89.7,0,1,0
OP0000157,ATL,2023-06-06,816,815,18,2,19.8,23.8,66.4,84.9,0,1,0
OP0000158,ATL,2023-06-07,871,876,15,1,12.8,16.4,75.0,88.4,0,4,0
OP0000159,ATL,2023-06-08,758,756,17,1,8.3,14.9,87.2,91.5,0,3,0
OP0000160,ATL,2023-06-09,753,750,16,0,11.9,17.7,77.8,84.0,0,2,0
OP0000161,ATL,2023-06-10,776,776,12,4,13.4,17.7,73.9,89.8,0,2,0
OP0000162,ATL,2023-06-11,816,814,19,3,23.2,25.2,58.1,87.0,0,3,0
OP0000163,ATL,2023-06-12,796,806,11,1,17.4,18.8,70.2,83.1,0,5,0
OP0000164,ATL,2023-06-13,768,772,9,2,12.6,17.0,73.0,90.9,0,0,0
OP0000165,ATL,2023-06-14,813,818,23,3,11.9,13.4,75.8,87.7,0,0,0
OP0000166,ATL,2023-06-15,742,740,10,1,9.9,9.7,77.6,91.0,0,5,0
OP0000167,ATL,2023-06-16,729,721,9,2,12.9,16.4,82.1,90.2,0,5,0
OP0000168,ATL,2023-06-17,763,760,16,4,15.3,18.3,68.1,91.7,0,4,0
OP0000169,ATL,2023-06-18,818,808,13,2,16.1,20.4,71.2,88.0,0,4,0
OP0000170,ATL,2023-06-19,820,812,15,2,17.3,19.1,69.5,90.3,0,4,1
OP0000171,ATL,2023-06-20,831,838,16,2,18.7,22.5,66.9,91.2,0,2,0
OP0000172,ATL,2023-06-21,744,739,13,2,6.4,9.8,91.9,91.9,0,3,0
OP0000173,ATL,2023-06-22,805,810,9,2,17.0,20.1,66.2,93.8,0,2,0
OP0000174,ATL,2023-06-23,832,828,10,2,10.4,13.3,84.3,92.1,0,2,0
OP0000175,ATL,2023-06-24,803,798,17,1,14.0,18.9,76.9,89.1,0,4,0
OP0000176,ATL,2023-06-25,786,784,12,3,18.4,20.4,67.4,85.6,0,0,0
OP0000177,ATL,2023-06-26,795,797,10,2,12.2,13.1,80.1,90.3,0,0,0
OP0000178,ATL,2023-06-27,792,791,20,2,20.1,22.8,69.9,96.7,0,2,0
OP0000179,ATL,2023-06-28,780,775,12,2,12.8,14.8,78.1,93.6,0,2,0
OP0000180,ATL,2023-06-29,794,796,20,1,9.5,11.9,83.9,88.3,0,3,0
OP0000181,ATL,2023-06-30,758,756,13,2,15.7,21.0,71.7,88.5,0,5,0
OP0000182,ATL,2023-07-01,745,739,10,2,0.4,1.7,96.4,91.7,0,0,0
OP0000183,ATL,2023-07-02,790,791,21,3,11.9,18.9,79.2,84.4,0,3,0
OP0000184,ATL,2023-07-03,825,825,4,4,14.0,18.8,73.2,88.6,0,0,0
OP0000185,ATL,2023-07-04,810,818,9,3,20.8,22.8,61.6,89.5,0,5,0
OP0000186,ATL,2023-07-05,763,768,12,2,21.8,24.7,59.1,90.9,0,2,0
OP0000187,ATL,2023-07-06,783,791,13,1,18.0,24.6,68.5,84.0,0,4,0
OP0000188,ATL,2023-07-07,817,826,14,5,17.8,23.1,71.2,88.8,0,0,0
OP0000189,ATL,2023-07-08,819,819,17,2,13.1,17.6,78.9,86.0,0,3,0
OP0000190,ATL,2023-07-09,780,778,13,1,15.7,21.7,75.3,89.5,0,2,0
OP0000191,ATL,2023-07-10,783,791,15,2,17.8,18.7,67.6,90.7,0,1,0
OP0000192,ATL,2023-07-11,791,801,13,2,8.3,9.6,82.0,92.3,0,3,0
OP0000193,ATL,2023-07-12,829,820,19,2,17.8,24.6,66.7,88.6,0,0,0
OP0000194,ATL,2023-07-13,783,792,10,2,17.6,24.2,67.6,92.7,0,3,0
OP0000195,ATL,2023-07-14,786,779,14,1,10.1,12.9,78.1,89.5,0,4,0
OP0000196,ATL,2023-07-15,777,777,15,3,17.0,21.4,68.1,98.9,0,1,0
OP0000197,ATL,2023-07-16,742,740,12,2,21.0,23.8,67.0,91.4,0,3,0
OP0000198,ATL,2023-07-17,751,758,2,0,20.8,22.6,62.4,90.4,0,4,0
OP0000199,ATL,2023-07-18,747,742,14,2,16.8,19.0,70.5,89.1,0,5,0
OP0000200,ATL,2023-07-19,857,859,12,3,17.4,18.6,70.7,87.8,0,3,0
OP0000201,ATL,2023-07-20,824,827,14,3,13.8,19.9,70.7,89.3,0,2,0
OP0000202,ATL,2023-07-21,794,795,15,0,10.8,14.6,80.6,86.4,0,1,0
OP0000203,ATL,2023-07-22,826,821,8,2,3.9,7.3,92.3,87.9,0,2,1
OP0000204,ATL,2023-07-23,777,776,15,2,15.3,17.9,72.5,90.7,0,0,0
OP0000205,ATL,2023-07-24,805,802,12,2,14.9,16.1,70.0,90.6,0,0,0
OP0000206,ATL,2023-07-25,775,770,7,4,3.4,6.1,92.6,89.5,0,4,0
OP0000207,ATL,2023-07-26,821,829,12,3,10.9,13.8,79.7,87.8,0,4,0
OP0000208,ATL,2023-07-27,749,744,10,1,14.7,19.3,73.2,90.0,0,1,0
OP0000209,ATL,2023-07-28,782,785,12,1,15.1,18.3,76.7,84.5,0,3,0
OP0000210,ATL,2023-07-29,771,767,15,2,13.1,13.4,73.5,87.9,0,1,0
OP0000211,ATL,2023-07-30,755,745,5,1,9.9,15.0,79.6,90.7,0,5,1
OP0000212,ATL,2023-07-31,841,847,26,2,12.5,14.7,75.8,89.2,0,5,0
OP0000213,ATL,2023-08-01,686,692,14,1,15.6,16.1,67.8,86.7,0,2,0
OP0000214,ATL,2023-08-02,726,723,10,1,10.3,13.9,78.0,89.1,0,0,0
OP0000215,ATL,2023-08-03,770,778,19,3,18.1,20.1,69.6,92.0,0,1,0
OP0000216,ATL,2023-08-04,821,812,12,3,9.4,12.1,80.4,88.9,0,2,0
OP0000217,ATL,2023-08-05,797,800,12,1,13.8,12.4,75.6,92.8,0,2,0
OP0000218,ATL,2023-08-06,805,812,16,2,13.1,16.2,75.6,81.8,0,0,0
OP0000219,ATL,2023-08-07,735,742,11,2,18.7,24.7,68.3,81.2,0,1,0
OP0000220,ATL,2023-08-08,759,759,13,1,13.7,18.4,75.4,91.1,0,1,0
OP0000221,ATL,2023-08-09,749,753,14,1,12.3,11.3,74.1,85.2,0,2,0
OP0000222,ATL,2023-08-10,791,799,12,2,0,1.8,99,88.6,0,1,0
OP0000223,ATL,2023-08-11,815,814,18,3,12.2,15.6,81.9,93.8,0,1,1
OP0000224,ATL,2023-08-12,802,797,10,3,8.6,13.9,82.2,94.6,0,0,0
OP0000225,ATL,2023-08-13,772,766,12,3,9.1,14.3,85.4,98.9,0,1,0
OP0000226,ATL,2023-08-14,729,732,16,2,8.7,11.0,87.8,88.5,0,0,0
OP0000227,ATL,2023-08-15,709,709,12,1,9.0,9.4,79.4,94.6,0,0,0
OP0000228,ATL,2023-08-16,727,734,8,2,14.9,15.7,75.2,87.8,0,0,0
OP0000229,ATL,2023-08-17,764,760,8,1,17.6,19.1,63.6,92.4,0,0,0
OP0000230,ATL,2023-08-18,759,769,13,3,11.9,14.2,76.7,96.9,0,2,0
OP0000231,ATL,2023-08-19,777,770,15,3,12.3,14.1,78.3,92.1,0,0,0
OP0000232,ATL,2023-08-20,834,829,6,1,15.6,14.8,70.4,91.2,0,0,0
OP0000233,ATL,2023-08-21,744,738,13,2,16.3,19.4,74.1,88.4,0,2,0
OP0000234,ATL,2023-08-22,730,739,12,3,10.4,11.1,79.3,94.9,0,0,1
OP0000235,ATL,2023-08-23,729,731,15,2,14.0,21.5,72.3,88.1,0,2,0
OP0000236,ATL,2023-08-24,746,755,13,1,15.1,19.2,68.7,89.1,0,0,0
OP0000237,ATL,2023-08-25,752,760,17,2,10.3,13.4,79.1,93.7,0,2,0
OP0000238,ATL,2023-08-26,797,806,8,1,8.8,8.3,87.5,87.1,0,0,0
OP0000239,ATL,2023-08-27,801,796,11,2,15.4,14.7,71.2,94.7,0,1,0
OP0000240,ATL,2023-08-28,733,729,8,1,23.4,24.3,56.0,91.2,0,2,0
OP0000241,ATL,2023-08-29,731,737,11,1,16.4,20.3,72.7,87.9,0,1,0
OP0000242,ATL,2023-08-30,731,736,9,2,9.1,16.9,79.1,94.8,0,0,0
OP0000243,ATL,2023-08-31,717,726,12,1,5.4,9.4,89.7,91.4,0,2,0
OP0000244,ATL,2023-09-01,771,766,8,3,8.4,11.2,80.2,88.0,0,0,0
OP0000245,ATL,2023-09-02,828,836,19,1,0,0.0,99,92.4,0,1,0
OP0000246,ATL,2023-09-03,772,775,7,2,5.6,9.4,89.4,85.7,0,0,0
OP0000247,ATL,2023-09-04,696,692,7,0,8.6,10.3,84.6,90.9,0,2,0
OP0000248,ATL,2023-09-05,761,767,13,1,13.3,14.1,75.0,84.8,0,0,0
OP0000249,ATL,2023-09-06,725,717,10,2,2.9,3.6,91.1,86.3,0,1,0
OP0000250,ATL,2023-09-07,647,656,8,2,11.7,14.8,83.8,86.5,0,2,0
OP0000251,ATL,2023-09-08,762,768,5,2,18.3,19.4,68.8,82.6,0,0,0
OP0000252,ATL,2023-09-09,777,781,7,2,18.4,22.0,62.7,88.6,0,0,0
OP0000253,ATL,2023-09-10,771,765,6,2,5.9,6.5,87.6,90.3,0,0,0
OP0000254,ATL,2023-09-11,716,718,7,2,13.0,13.2,76.9,88.0,0,0,1
OP0000255,ATL,2023-09-12,696,688,8,1,10.0,16.9,82.2,90.3,0,2,0
OP0000256,ATL,2023-09-13,778,769,7,2,19.3,21.7,64.5,91.1,0,2,0
OP0000257,ATL,2023-09-14,724,733,6,1,11.0,14.1,83.1,89.6,0,1,0
OP0000258,ATL,2023-09-15,804,799,6,2,5.4,7.7,86.6,87.6,0,1,0
OP0000259,ATL,2023-09-16,772,763,17,3,10.5,14.6,79.8,95.2,0,0,0
OP0000260,ATL,2023-09-17,750,756,11,2,13.1,12.6,76.5,87.7,0,2,0
OP0000261,ATL,2023-09-18,701,691,11,2,6.8,10.5,82.4,94.5,0,0,0
OP0000262,ATL,2023-09-19,654,659,5,0,18.2,21.3,62.7,93.5,0,2,0
OP0000263,ATL,2023-09-20,714,724,11,2,8.3,11.6,82.2,88.9,0,2,0
OP0000264,ATL,2023-09-21,756,759,2,1,7.7,10.7,83.7,89.1,0,2,0
OP0000265,ATL,2023-09-22,796,795,15,3,12.3,12.9,76.9,86.0,0,1,0
OP0000266,ATL,2023-09-23,812,818,11,2,15.5,20.9,76.1,84.6,0,2,0
OP0000267,ATL,2023-09-24,805,796,12,3,11.9,15.8,80.0,85.7,0,2,0
OP0000268,ATL,2023-09-25,721,716,9,2,7.1,14.0,83.2,92.0,0,0,0
OP0000269,ATL,2023-09-26,718,725,4,3,2.2,3.6,99,93.3,0,0,0
OP0000270,ATL,2023-09-27,660,668,9,2,9.3,13.3,82.7,88.7,0,2,0
OP0000271,ATL,2023-09-28,721,730,8,2,18.3,19.9,66.2,86.0,0,0,0
OP0000272,ATL,2023-09-29,829,838,8,1,19.8,24.7,66.9,92.6,0,1,0
OP0000273,ATL,2023-09-30,767,760,7,1,8.8,13.3,80.3,86.5,0,2,0
OP0000274,ATL,2023-10-01,789,781,8,2,8.9,12.1,82.4,90.6,0,1,0
OP0000275,ATL,2023-10-02,754,747,10,1,6.0,8.8,84.8,91.4,0,1,0
OP0000276,ATL,2023-10-03,688,678,10,1,21.6,27.2,62.9,92.4,0,0,0
OP0000277,ATL,2023-10-04,712,718,6,2,10.0,12.3,79.6,90.7,0,1,0
OP0000278,ATL,2023-10-05,728,736,5,2,12.6,15.2,75.0,94.2,0,1,0
OP0000279,ATL,2023-10-06,819,818,10,2,6.8,10.9,83.6,83.1,0,1,0
OP0000280,ATL,2023-10-07,778,768,3,1,6.3,9.5,92.5,95.8,0,1,0
OP0000281,ATL,2023-10-08,810,814,15,3,6.7,11.2,87.5,88.1,0,2,0
OP0000282,ATL,2023-10-09,684,686,9,1,13.5,16.2,77.9,89.2,0,0,0
OP0000283,ATL,2023-10-10,744,742,18,2,13.1,19.7,74.3,90.9,0,0,0
OP0000284,ATL,2023-10-11,682,691,12,1,0,1.9,97.8,83.5,0,1,0
OP0000285,ATL,2023-10-12,725,733,8,1,12.3,13.4,78.5,91.0,0,0,0
OP0000286,ATL,2023-10-13,823,821,15,1,22.6,24.5,63.0,88.5,0,1,0
OP0000287,ATL,2023-10-14,773,763,14,5,10.5,14.6,85.0,88.7,0,2,0
OP0000288,ATL,2023-10-15,766,761,7,2,13.2,12.1,71.1,89.2,0,0,0
OP0000289,ATL,2023-10-16,748,749,3,2,3.4,3.6,97.7,90.8,0,0,0
OP0000290,ATL,2023-10-17,684,680,9,1,6.8,11.4,86.1,93.3,0,0,0
OP0000291,ATL,2023-10-18,750,740,3,2,9.7,12.5,76.9,85.5,0,2,0
OP0000292,ATL,2023-10-19,715,708,6,1,15.1,19.3,71.6,89.4,0,1,0
OP0000293,ATL,2023-10-20,797,794,16,0,4.6,6.7,89.6,86.4,0,2,0
OP0000294,ATL,2023-10-21,756,747,7,2,7.6,10.7,83.5,84.7,0,0,0
