weather_id,airport_code,date,hour,condition,temperature_f,wind_speed_mph,visibility_miles,precipitation_inches,humidity_pct,delay_risk_score
WX0000053,ATL,2023-01-18,12,Overcast,36,1.7,5.1,0,72,1.55
WX0000054,ATL,2023-01-18,18,Clear,34,14.0,9.8,0,50,1.17
WX0000055,ATL,2023-01-19,6,Partly Cloudy,21,1.9,9.4,0,81,1.0
WX0000056,ATL,2023-01-19,12,Snow,23,12.8,3.5,0.77,77,4.14
WX0000057,ATL,2023-01-19,18,Freezing Rain,34,14.2,3.2,0.25,63,4.78
WX0000058,ATL,2023-01-20,6,Fog,30,11.3,2.3,0.06,77,3.41
WX0000059,ATL,2023-01-20,12,Partly Cloudy,24,4.7,9.0,0,84,1.11
WX0000060,ATL,2023-01-20,18,Snow,31,10.6,2.8,0.65,58,4.13
WX0000061,ATL,2023-01-21,6,Blizzard,29,0.2,0.2,0.9,43,5.57
WX0000062,ATL,2023-01-21,12,Light Rain,18,6.9,3.0,0.17,32,2.29
WX0000063,ATL,2023-01-21,18,Clear,33,4.7,9.4,0,48,1.01
WX0000064,ATL,2023-01-22,6,Heavy Rain,38,5.4,1.6,0.68,38,2.92
WX0000065,ATL,2023-01-22,12,Freezing Rain,28,11.3,1.1,0.46,69,5.09
WX0000066,ATL,2023-01-22,18,Blizzard,39,1.6,0.2,1.35,93,5.77
WX0000067,ATL,2023-01-23,6,Blizzard,33,6.3,0.5,1.42,46,6.32
WX0000068,ATL,2023-01-23,12,Clear,39,2.3,8.4,0,81,1.04
WX0000069,ATL,2023-01-23,18,Freezing Rain,50,26.4,3.9,0.77,72,5.61
WX0000070,ATL,2023-01-24,6,High Winds,36,2.3,6.2,0,42,2.33
WX0000071,ATL,2023-01-24,12,Overcast,22,6.4,8.4,0,62,1.35
WX0000072,ATL,2023-01-24,18,Freezing Rain,29,7.5,3.0,0.47,73,4.24
WX0000073,ATL,2023-01-25,6,Overcast,28,2.5,7.9,0,47,1.29
WX0000074,ATL,2023-01-25,12,Snow,35,22.6,3.0,0.19,56,5.05
WX0000075,ATL,2023-01-25,18,Partly Cloudy,28,20.9,9.7,0,76,1.41
WX0000076,ATL,2023-01-26,6,Overcast,35,11.6,7.7,0,33,1.59
WX0000077,ATL,2023-01-26,12,Snow,35,0.2,2.0,0.11,76,3.44
WX0000078,ATL,2023-01-26,18,Light Rain,33,3.2,2.1,0.29,61,2.22
WX0000079,ATL,2023-01-27,6,Light Rain,16,14.9,5.4,0.07,40,2.3
WX0000080,ATL,2023-01-27,12,High Winds,27,4.0,8.4,0,46,2.04
WX0000081,ATL,2023-01-27,18,Clear,29,8.2,8.8,0,39,1.15
WX0000082,ATL,2023-01-28,6,Fog,32,0.8,2.5,0.18,73,2.68
WX0000083,ATL,2023-01-28,12,Overcast,44,1.4,5.9,0,34,1.46
WX0000084,ATL,2023-01-28,18,Fog,28,0.8,5.8,0.13,61,2.17
WX0000085,ATL,2023-01-29,6,Fog,34,18.6,3.5,0.08,31,3.63
WX0000086,ATL,2023-01-29,12,Snow,32,22.3,3.7,0.65,86,4.82
WX0000087,ATL,2023-01-29,18,Freezing Rain,46,14.7,3.1,0.2,95,4.85
WX0000088,ATL,2023-01-30,6,High Winds,32,0.4,7.4,0,80,2.04
WX0000089,ATL,2023-01-30,12,Overcast,43,20.5,6.2,0,43,2.09
WX0000090,ATL,2023-01-30,18,Heavy Rain,22,9.5,3.0,0.43,82,2.95
WX0000091,ATL,2023-01-31,6,Clear,23,1.9,9.8,0,71,0.91
WX0000092,ATL,2023-01-31,12,Clear,14,2.8,9.1,0,53,0.99
WX0000093,ATL,2023-01-31,18,Overcast,32,28.2,5.5,0,79,2.47
WX0000094,ATL,2023-02-01,6,Clear,11,34.3,8.7,0,55,1.78
WX0000095,ATL,2023-02-01,12,Heavy Rain,41,12.9,2.0,1.44,84,3.33
WX0000096,ATL,2023-02-01,18,Clear,36,0.6,9.5,0,41,0.91
WX0000097,ATL,2023-02-02,6,Blizzard,32,2.6,0.8,1.93,70,5.73
WX0000098,ATL,2023-02-02,12,Clear,22,0.2,10.0,0,95,0.85
WX0000099,ATL,2023-02-02,18,Overcast,27,11.5,5.8,0,51,1.83
WX0000100,ATL,2023-02-03,6,Clear,20,14.0,9.1,0,92,1.25
WX0000101,ATL,2023-02-03,12,Light Rain,41,1.2,4.1,0.18,94,1.88
WX0000102,ATL,2023-02-03,18,High Winds,44,0,6.2,0,54,2.21
WX0000103,ATL,2023-02-04,6,Blizzard,34,1.0,0.8,1.87,66,5.51
WX0000104,ATL,2023-02-04,12,Blizzard,29,2.4,0.2,1.45,47,5.88
WX0000105,ATL,2023-02-04,18,Fog,37,7.2,6.0,0.27,62,2.48
WX0000106,ATL,2023-02-05,6,Heavy Rain,29,0.3,2.4,0.34,73,2.48
WX0000107,ATL,2023-02-05,12,Snow,33,0.8,1.3,0.5,63,3.62
WX0000108,ATL,2023-02-05,18,Light Rain,30,5.3,3.4,0.06,82,2.16
WX0000109,ATL,2023-02-06,6,Light Rain,34,7.6,5.9,0.1,65,1.93
WX0000110,ATL,2023-02-06,12,Partly Cloudy,26,8.0,8.4,0,73,1.25
WX0000111,ATL,2023-02-06,18,Thunderstorm,28,24.6,2.8,0.82,83,5.0
WX0000112,ATL,2023-02-07,6,Clear,31,1.5,8.4,0,71,1.02
WX0000113,ATL,2023-02-07,12,High Winds,22,1.5,5.4,0,62,2.42
WX0000114,ATL,2023-02-07,18,High Winds,35,18.8,6.0,0,78,3.29
WX0000115,ATL,2023-02-08,6,Blizzard,34,24.9,0.7,1.35,74,8.77
WX0000116,ATL,2023-02-08,12,Clear,34,12.6,9.8,0,62,1.14
WX0000117,ATL,2023-02-08,18,Partly Cloudy,25,6.4,8.1,0,65,1.24
WX0000118,ATL,2023-02-09,6,High Winds,52,7.6,8.8,0,74,2.13
WX0000119,ATL,2023-02-09,12,Light Rain,28,2.4,2.8,0.2,33,2.1
WX0000120,ATL,2023-02-09,18,Heavy Rain,24,7.5,0.5,0.42,52,3.24
WX0000121,ATL,2023-02-10,6,Clear,33,0.5,8.5,0,52,0.99
WX0000122,ATL,2023-02-10,12,Snow,44,33.5,2.0,0.35,93,6.28
WX0000123,ATL,2023-02-10,18,Partly Cloudy,38,5.4,9.4,0,62,1.08
WX0000124,ATL,2023-02-11,6,Snow,32,65.4,2.4,0.27,38,8.81
WX0000125,ATL,2023-02-11,12,Freezing Rain,31,8.8,1.3,0.34,86,4.79
WX0000126,ATL,2023-02-11,18,Freezing Rain,35,10.0,3.8,0.58,76,4.25
WX0000127,ATL,2023-02-12,6,Freezing Rain,27,49.4,2.3,0.74,78,8.31
WX0000128,ATL,2023-02-12,12,Freezing Rain,42,10.6,2.9,0.35,75,4.54
WX0000129,ATL,2023-02-12,18,High Winds,22,15.3,5.2,0,43,3.27
WX0000130,ATL,2023-02-13,6,Light Rain,45,9.9,2.3,0.2,60,2.54
WX0000131,ATL,2023-02-13,12,Overcast,27,1.3,8.0,0,68,1.24
WX0000132,ATL,2023-02-13,18,Freezing Rain,36,5.3,3.2,0.69,55,4.0
WX0000133,ATL,2023-02-14,6,Partly Cloudy,33,10.3,9.2,0,36,1.22
WX0000134,ATL,2023-02-14,12,Light Rain,34,8.2,3.9,0.13,69,2.23
WX0000135,ATL,2023-02-14,18,Overcast,18,1.8,6.1,0,52,1.45
WX0000136,ATL,2023-02-15,6,Freezing Rain,27,12.9,2.6,0.8,62,4.83
WX0000137,ATL,2023-02-15,12,Overcast,45,2.4,8.0,0,86,1.27
WX0000138,ATL,2023-02-15,18,High Winds,36,12.0,6.9,0,63,2.72
WX0000139,ATL,2023-02-16,6,Snow,19,0.4,2.9,0.41,52,3.28
WX0000140,ATL,2023-02-16,12,Heavy Rain,38,0.3,1.0,0.87,77,2.68
WX0000141,ATL,2023-02-16,18,Clear,31,20.1,9.0,0,47,1.4
WX0000142,ATL,2023-02-17,6,Clear,25,40.9,8.4,0,76,1.99
WX0000143,ATL,2023-02-17,12,High Winds,11,9.6,7.4,0,64,2.5
WX0000144,ATL,2023-02-17,18,Overcast,28,0.3,6.6,0,54,1.35
WX0000145,ATL,2023-02-18,6,Clear,39,9.0,9.7,0,70,1.07
WX0000146,ATL,2023-02-18,12,High Winds,35,5.1,8.8,0,62,2.02
WX0000147,ATL,2023-02-18,18,Light Rain,35,0.7,2.3,0.14,35,2.07
WX0000148,ATL,2023-02-19,6,Freezing Rain,41,0.6,1.5,0.19,83,3.94
WX0000149,ATL,2023-02-19,12,Heavy Rain,46,21.0,2.1,1.37,55,3.82
WX0000150,ATL,2023-02-19,18,Partly Cloudy,47,2.4,8.6,0,44,1.09
WX0000151,ATL,2023-02-20,6,Snow,38,12.6,3.6,0.64,45,4.1
WX0000152,ATL,2023-02-20,12,Blizzard,32,24.7,0.2,1.46,70,8.97
WX0000153,ATL,2023-02-20,18,Freezing Rain,32,9.4,1.1,0.2,36,4.9
WX0000154,ATL,2023-02-21,6,High Winds,49,7.4,8.0,0,69,2.28
WX0000155,ATL,2023-02-21,12,Fog,40,39.2,4.2,0.09,52,4.69
WX0000156,ATL,2023-02-21,18,Overcast,36,10.4,8.0,0,94,1.51
WX0000157,ATL,2023-02-22,6,Snow,37,10.9,3.9,0.38,91,3.89
WX0000158,ATL,2023-02-22,12,Partly Cloudy,42,6.6,9.7,0,88,1.08
WX0000159,ATL,2023-02-22,18,Snow,37,10.7,3.5,0.52,66,3.97
WX0000160,ATL,2023-02-23,6,Overcast,30,0.1,6.1,0,46,1.39
WX0000161,ATL,2023-02-23,12,High Winds,36,4.9,7.5,0,38,2.25
WX0000162,ATL,2023-02-23,18,Heavy Rain,34,1.5,3.0,0.4,35,2.47
WX0000163,ATL,2023-02-24,6,Thunderstorm,50,18.7,2.8,0.6,45,4.54
WX0000164,ATL,2023-02-24,12,Blizzard,39,17.9,0.5,0.83,53,7.9
WX0000165,ATL,2023-02-24,18,Thunderstorm,43,1.5,2.0,0.8,37,3.36
WX0000166,ATL,2023-02-25,6,Blizzard,19,11.6,0.4,1.0,90,7.08
WX0000167,ATL,2023-02-25,12,Clear,26,8.7,8.8,0,82,1.16
WX0000168,ATL,2023-02-25,18,Freezing Rain,28,2.6,3.5,0.22,54,3.69
WX0000169,ATL,2023-02-26,6,Light Rain,33,0.4,3.9,0.22,41,1.87
WX0000170,ATL,2023-02-26,12,Heavy Rain,48,21.8,1.8,0.56,43,3.94
WX0000171,ATL,2023-02-26,18,Fog,39,6.4,4.1,0.25,60,2.77
WX0000172,ATL,2023-02-27,6,Snow,35,4.6,3.5,0.23,51,3.5
WX0000173,ATL,2023-02-27,12,Heavy Rain,38,10.2,0.6,0.69,74,3.41
WX0000174,ATL,2023-02-27,18,High Winds,37,11.8,7.1,0,93,2.67
WX0000175,ATL,2023-02-28,6,Snow,32,9.1,1.8,0.12,51,4.24
WX0000176,ATL,2023-02-28,12,Thunderstorm,39,0.1,2.7,0.32,60,3.12
WX0000177,ATL,2023-02-28,18,Light Rain,36,11.8,2.5,0.05,95,2.61
WX0000178,ATL,2023-03-01,6,High Winds,59,11.8,5.6,0,74,2.98
WX0000179,ATL,2023-03-01,12,Thunderstorm,60,26.6,2.2,0.78,62,5.33
WX0000180,ATL,2023-03-01,18,Snow,44,36.1,3.9,0.53,64,5.82
WX0000181,ATL,2023-03-02,6,Heavy Rain,38,3.0,1.1,0.63,50,2.84
WX0000182,ATL,2023-03-02,12,Light Rain,44,2.8,4.3,0.21,55,1.93
WX0000183,ATL,2023-03-02,18,Thunderstorm,44,12.0,2.5,1.36,47,4.1
WX0000184,ATL,2023-03-03,6,Overcast,38,0,8.5,0,81,1.15
WX0000185,ATL,2023-03-03,12,Overcast,41,50.8,6.0,0,47,3.18
WX0000186,ATL,2023-03-03,18,Overcast,38,0.7,6.2,0,90,1.4
WX0000187,ATL,2023-03-04,6,Fog,44,4.4,2.9,0.25,64,2.85
WX0000188,ATL,2023-03-04,12,Clear,50,6.7,8.8,0,37,1.11
WX0000189,ATL,2023-03-04,18,Heavy Rain,49,6.5,2.2,0.77,34,2.9
WX0000190,ATL,2023-03-05,6,High Winds,41,30.6,5.7,0,81,4.04
WX0000191,ATL,2023-03-05,12,Clear,49,1.4,9.4,0,43,0.93
WX0000192,ATL,2023-03-05,18,High Winds,49,24.1,5.5,0,62,3.72
WX0000193,ATL,2023-03-06,6,Partly Cloudy,43,4.2,8.1,0,83,1.18
WX0000194,ATL,2023-03-06,12,High Winds,43,1.2,8.1,0,58,1.96
WX0000195,ATL,2023-03-06,18,Clear,24,11.7,9.4,0,58,1.16
WX0000196,ATL,2023-03-07,6,Fog,35,44.4,4.0,0.09,34,5.06
WX0000197,ATL,2023-03-07,12,Partly Cloudy,37,0.9,9.1,0,40,1.0
WX0000198,ATL,2023-03-07,18,Heavy Rain,56,19.3,2.1,0.96,91,3.72
WX0000199,ATL,2023-03-08,6,Blizzard,37,13.1,0.8,0.94,86,7.14
WX0000200,ATL,2023-03-08,12,High Winds,59,17.9,6.6,0,89,3.1
WX0000201,ATL,2023-03-08,18,Clear,52,1.8,9.2,0,46,0.96
WX0000202,ATL,2023-03-09,6,Light Rain,24,5.1,3.1,0.13,77,2.19
WX0000203,ATL,2023-03-09,12,Clear,34,12.9,9.5,0,91,1.18
WX0000204,ATL,2023-03-09,18,Light Rain,53,3.5,3.5,0.11,68,2.06
WX0000205,ATL,2023-03-10,6,Snow,41,5.1,4.0,0.53,47,3.43
WX0000206,ATL,2023-03-10,12,Clear,43,6.6,8.8,0,64,1.11
WX0000207,ATL,2023-03-10,18,High Winds,46,4.8,5.2,0,44,2.65
WX0000208,ATL,2023-03-11,6,Clear,42,6.6,8.3,0,50,1.16
WX0000209,ATL,2023-03-11,12,Fog,45,19.8,4.6,0.28,66,3.45
WX0000210,ATL,2023-03-11,18,Clear,30,4.0,9.9,0,93,0.94
WX0000211,ATL,2023-03-12,6,Fog,43,2.4,5.7,0.3,64,2.27
WX0000212,ATL,2023-03-12,12,Overcast,41,100.6,7.4,0,87,4.43
WX0000213,ATL,2023-03-12,18,Fog,42,5.9,5.1,0.09,89,2.56
WX0000214,ATL,2023-03-13,6,Snow,27,12.6,2.3,0.19,86,4.42
WX0000215,ATL,2023-03-13,12,Snow,40,27.0,2.6,0.55,40,5.54
WX0000216,ATL,2023-03-13,18,Snow,52,10.6,1.2,0.57,74,4.52
WX0000217,ATL,2023-03-14,6,Clear,33,7.8,9.1,0,77,1.11
WX0000218,ATL,2023-03-14,12,Clear,51,1.3,9.3,0,73,0.94
WX0000219,ATL,2023-03-14,18,Overcast,53,8.7,9.0,0,93,1.34
WX0000220,ATL,2023-03-15,6,Blizzard,45,19.0,0.7,1.04,90,7.97
WX0000221,ATL,2023-03-15,12,High Winds,57,32.5,8.0,0,58,3.48
WX0000222,ATL,2023-03-15,18,Light Rain,53,0.4,5.5,0.1,49,1.68
WX0000223,ATL,2023-03-16,6,Snow,58,5.2,3.1,0.78,72,3.63
WX0000224,ATL,2023-03-16,12,Fog,43,18.4,5.9,0.23,30,3.09
WX0000225,ATL,2023-03-16,18,High Winds,66,2.6,8.1,0,51,2.03
WX0000226,ATL,2023-03-17,6,High Winds,40,0.2,7.9,0,83,1.95
WX0000227,ATL,2023-03-17,12,Clear,50,40.7,9.7,0,86,1.77
WX0000228,ATL,2023-03-17,18,High Winds,42,8.0,7.8,0,41,2.34
WX0000229,ATL,2023-03-18,6,Freezing Rain,48,2.6,3.7,0.24,34,3.65
WX0000230,ATL,2023-03-18,12,Thunderstorm,31,2.2,2.6,0.6,72,3.3
WX0000231,ATL,2023-03-18,18,Freezing Rain,39,5.1,2.2,0.62,85,4.21
WX0000232,ATL,2023-03-19,6,Freezing Rain,41,16.8,2.2,0.67,81,5.31
WX0000233,ATL,2023-03-19,12,High Winds,53,6.1,6.5,0,53,2.49
WX0000234,ATL,2023-03-19,18,Overcast,46,24.5,8.4,0,64,1.87
WX0000235,ATL,2023-03-20,6,High Winds,36,7.0,7.3,0,78,2.39
WX0000236,ATL,2023-03-20,12,High Winds,60,25.1,6.0,0,31,3.65
WX0000237,ATL,2023-03-20,18,Clear,43,32.2,8.8,0,52,1.72
WX0000238,ATL,2023-03-21,6,Light Rain,57,2.5,4.1,0.22,35,1.94
WX0000239,ATL,2023-03-21,12,Light Rain,55,9.3,3.1,0.24,50,2.4
WX0000240,ATL,2023-03-21,18,Overcast,55,7.7,6.4,0,51,1.62
WX0000241,ATL,2023-03-22,6,Clear,40,5.8,8.2,0,81,1.15
WX0000242,ATL,2023-03-22,12,Partly Cloudy,38,7.5,9.3,0,40,1.14
WX0000243,ATL,2023-03-22,18,Partly Cloudy,48,23.5,9.4,0,42,1.51
WX0000244,ATL,2023-03-23,6,Partly Cloudy,26,20.2,8.3,0,70,1.58
WX0000245,ATL,2023-03-23,12,Clear,46,2.5,8.9,0,50,1.0
WX0000246,ATL,2023-03-23,18,Light Rain,56,15.2,5.6,0.23,92,2.29
WX0000247,ATL,2023-03-24,6,Partly Cloudy,50,43.8,8.1,0,92,2.24
WX0000248,ATL,2023-03-24,12,Partly Cloudy,35,13.0,9.2,0,57,1.29
WX0000249,ATL,2023-03-24,18,Overcast,38,17.6,5.6,0,74,2.07
WX0000250,ATL,2023-03-25,6,Overcast,43,13.5,6.8,0,71,1.77
WX0000251,ATL,2023-03-25,12,Fog,54,0.9,4.5,0.06,88,2.38
WX0000252,ATL,2023-03-25,18,High Winds,42,9.4,5.8,0,30,2.81
WX0000253,ATL,2023-03-26,6,High Winds,44,13.8,8.9,0,90,2.39
WX0000254,ATL,2023-03-26,12,Overcast,37,23.6,5.7,0,83,2.27
WX0000255,ATL,2023-03-26,18,High Winds,34,4.0,7.1,0,51,2.27
WX0000256,ATL,2023-03-27,6,Partly Cloudy,35,3.4,8.5,0,86,1.12
WX0000257,ATL,2023-03-27,12,Overcast,51,2.1,6.9,0,47,1.38
WX0000258,ATL,2023-03-27,18,Clear,54,21.4,9.7,0,34,1.34
WX0000259,ATL,2023-03-28,6,Partly Cloudy,36,1.4,8.5,0,33,1.07
WX0000260,ATL,2023-03-28,12,Heavy Rain,28,13.8,2.2,0.8,94,3.35
WX0000261,ATL,2023-03-28,18,High Winds,64,3.2,6.4,0,83,2.35
WX0000262,ATL,2023-03-29,6,Clear,37,13.5,8.2,0,92,1.34
WX0000263,ATL,2023-03-29,12,Thunderstorm,44,11.0,0.8,0.46,33,4.41
WX0000264,ATL,2023-03-29,18,Fog,37,11.4,2.4,0.16,73,3.39
WX0000265,ATL,2023-03-30,6,High Winds,40,7.4,5.6,0,54,2.73
WX0000266,ATL,2023-03-30,12,Clear,54,1.4,9.9,0,94,0.89
WX0000267,ATL,2023-03-30,18,Snow,55,13.6,3.1,0.33,30,4.3
WX0000268,ATL,2023-03-31,6,Thunderstorm,48,11.1,2.7,0.52,36,3.98
WX0000269,ATL,2023-03-31,12,Clear,41,14.3,9.9,0,83,1.17
WX0000270,ATL,2023-03-31,18,Thunderstorm,55,0.3,1.2,0.58,95,3.41
WX0000271,ATL,2023-04-01,6,Clear,63,16.8,8.4,0,41,1.4
WX0000272,ATL,2023-04-01,12,Clear,53,13.5,8.0,0,73,1.36
WX0000273,ATL,2023-04-01,18,Partly Cloudy,62,14.8,8.7,0,88,1.39
WX0000274,ATL,2023-04-02,6,Partly Cloudy,53,34.7,8.4,0,56,1.95
WX0000275,ATL,2023-04-02,12,Clear,52,0.9,9.5,0,34,0.91
WX0000276,ATL,2023-04-02,18,Clear,59,7.1,9.2,0,85,1.08
WX0000277,ATL,2023-04-03,6,Overcast,53,6.4,6.8,0,37,1.53
WX0000278,ATL,2023-04-03,12,Clear,66,22.6,9.9,0,42,1.34
WX0000279,ATL,2023-04-03,18,Overcast,70,1.0,7.0,0,90,1.33
WX0000280,ATL,2023-04-04,6,Partly Cloudy,42,7.5,10.0,0,90,1.07
WX0000281,ATL,2023-04-04,12,Clear,63,26.3,9.7,0,73,1.45
WX0000282,ATL,2023-04-04,18,Thunderstorm,57,7.8,2.2,0.61,89,3.83
WX0000283,ATL,2023-04-05,6,Partly Cloudy,70,2.6,8.4,0,77,1.11
WX0000284,ATL,2023-04-05,12,Snow,62,9.3,0.9,0.36,53,4.47
WX0000285,ATL,2023-04-05,18,Clear,32,5.6,8.7,0,66,1.09
WX0000286,ATL,2023-04-06,6,Fog,51,7.1,5.8,0.03,66,2.51
WX0000287,ATL,2023-04-06,12,Snow,45,2.1,2.0,0.17,82,3.6
WX0000288,ATL,2023-04-06,18,Clear,56,3.1,8.9,0,64,1.02
WX0000289,ATL,2023-04-07,6,Overcast,55,16.0,7.3,0,31,1.78
WX0000290,ATL,2023-04-07,12,Partly Cloudy,52,16.3,9.4,0,55,1.34
WX0000291,ATL,2023-04-07,18,High Winds,67,19.4,5.5,0,90,3.45
WX0000292,ATL,2023-04-08,6,Heavy Rain,72,0.6,1.2,0.81,61,2.67
WX0000293,ATL,2023-04-08,12,Thunderstorm,60,5.8,2.8,0.95,39,3.54
WX0000294,ATL,2023-04-08,18,Clear,63,7.0,9.7,0,83,1.03
WX0000295,ATL,2023-04-09,6,Heavy Rain,60,7.5,2.0,0.5,92,2.99
WX0000296,ATL,2023-04-09,12,Heavy Rain,65,25.0,2.5,0.65,87,3.98
WX0000297,ATL,2023-04-09,18,Heavy Rain,67,15.0,2.0,0.75,75,3.46
WX0000298,ATL,2023-04-10,6,Light Rain,58,2.0,2.9,0.02,75,2.06
WX0000299,ATL,2023-04-10,12,Clear,57,17.3,8.1,0,91,1.45
WX0000300,ATL,2023-04-10,18,Partly Cloudy,60,7.8,8.4,0,78,1.25
WX0000301,ATL,2023-04-11,6,Snow,56,4.6,3.1,0.19,87,3.58
WX0000302,ATL,2023-04-11,12,Partly Cloudy,53,17.0,9.0,0,90,1.41
WX0000303,ATL,2023-04-11,18,High Winds,57,4.2,8.5,0,31,2.03
WX0000304,ATL,2023-04-12,6,Clear,45,2.0,9.2,0,85,0.96
WX0000305,ATL,2023-04-12,12,Clear,60,7.1,9.7,0,38,1.03
WX0000306,ATL,2023-04-12,18,Overcast,75,11.0,5.3,0,88,1.87
WX0000307,ATL,2023-04-13,6,Light Rain,53,59.5,2.5,0.06,57,5.01
WX0000308,ATL,2023-04-13,12,Blizzard,66,11.0,0.2,0.76,32,7.07
WX0000309,ATL,2023-04-13,18,Partly Cloudy,61,6.5,10.0,0,37,1.05
WX0000310,ATL,2023-04-14,6,Heavy Rain,60,2.6,2.0,1.0,93,2.68
WX0000311,ATL,2023-04-14,12,Fog,55,11.0,2.4,0.19,53,3.37
WX0000312,ATL,2023-04-14,18,Partly Cloudy,72,15.3,8.3,0,43,1.46
WX0000313,ATL,2023-04-15,6,Thunderstorm,56,7.6,1.6,1.09,78,3.94
WX0000314,ATL,2023-04-15,12,Fog,65,15.2,2.0,0.05,67,3.73
WX0000315,ATL,2023-04-15,18,Clear,52,14.5,9.5,0,92,1.22
WX0000316,ATL,2023-04-16,6,Overcast,68,2.5,8.4,0,69,1.23
WX0000317,ATL,2023-04-16,12,Clear,54,6.3,8.6,0,68,1.12
