delay_id,flight_id,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,total_delay_min,primary_cause
DD000217,FL000762,0,0,48,3,0,51,NAS Delay
DD000218,FL000763,0,7,3,3,3,16,Weather Delay
DD000219,FL000764,84,51,0,0,1,136,Carrier Delay
DD000220,FL000766,4,68,0,0,0,72,Weather Delay
DD000221,FL000772,1,7,24,3,0,35,NAS Delay
DD000222,FL000773,5,1,16,22,0,44,Security Delay
DD000223,FL000776,0,0,10,13,0,23,Security Delay
DD000224,FL000777,41,17,1,2,30,91,Carrier Delay
DD000225,FL000779,1,10,1,1,12,25,Late Aircraft Delay
DD000226,FL000780,2,4,2,14,2,24,Security Delay
DD000227,FL000782,1,0,0,100,0,101,Security Delay
DD000228,FL000783,13,0,33,10,1,57,NAS Delay
DD000229,FL000805,7,28,5,1,11,52,Weather Delay
DD000230,FL000806,13,10,1,54,1,79,Security Delay
DD000231,FL000808,8,1,4,64,17,94,Security Delay
DD000232,FL000813,3,3,0,11,0,17,Security Delay
DD000233,FL000815,2,1,8,3,65,79,Late Aircraft Delay
DD000234,FL000819,0,46,0,12,0,58,Weather Delay
DD000235,FL000828,9,0,1,4,5,19,Carrier Delay
DD000236,FL000831,2,0,1,13,1,17,Security Delay
DD000237,FL000840,8,5,2,12,2,29,Security Delay
DD000238,FL000841,9,7,3,0,1,20,Carrier Delay
DD000239,FL000843,1,22,37,38,2,100,Security Delay
DD000240,FL000845,32,20,8,52,6,118,Security Delay
DD000241,FL000846,0,6,9,6,1,22,NAS Delay
DD000242,FL000848,0,10,2,6,0,18,Weather Delay
DD000243,FL000856,0,0,2,34,9,45,Security Delay
DD000244,FL000858,1,9,7,0,1,18,Weather Delay
DD000245,FL000863,6,0,2,0,34,42,Late Aircraft Delay
DD000246,FL000865,1,1,10,2,11,25,Late Aircraft Delay
DD000247,FL000866,0,0,1,24,2,27,Security Delay
DD000248,FL000870,6,1,7,1,2,17,NAS Delay
DD000249,FL000872,6,0,2,10,2,20,Security Delay
DD000250,FL000873,2,1,1,53,1,58,Security Delay
DD000251,FL000878,6,0,8,13,0,27,Security Delay
DD000252,FL000880,0,11,1,8,0,20,Weather Delay
DD000253,FL000894,0,0,4,70,0,74,Security Delay
DD000254,FL000899,5,0,2,8,0,15,Security Delay
DD000255,FL000902,0,7,5,32,0,44,Security Delay
DD000256,FL000903,1,0,17,0,3,21,NAS Delay
DD000257,FL000907,12,0,2,7,4,25,Carrier Delay
DD000258,FL000908,0,15,4,0,7,26,Weather Delay
DD000259,FL000909,13,22,0,3,0,38,Weather Delay
DD000260,FL000911,9,5,0,6,13,33,Late Aircraft Delay
DD000261,FL000916,6,2,5,3,1,17,Carrier Delay
DD000262,FL000922,12,3,1,2,4,22,Carrier Delay
DD000263,FL000925,16,0,2,41,11,70,Security Delay
DD000264,FL000928,19,0,0,1,0,20,Carrier Delay
DD000265,FL000933,18,20,43,9,1,91,NAS Delay
DD000266,FL000935,5,0,7,8,1,21,Security Delay
DD000267,FL000937,7,4,4,0,1,16,Carrier Delay
DD000268,FL000941,7,16,0,4,0,27,Weather Delay
DD000269,FL000945,6,0,8,5,2,21,NAS Delay
DD000270,FL000946,4,3,6,20,7,40,Security Delay
DD000271,FL000950,2,0,0,56,0,58,Security Delay
DD000272,FL000958,1,3,0,0,14,18,Late Aircraft Delay
DD000273,FL000961,9,0,0,0,11,20,Late Aircraft Delay
DD000274,FL000962,20,5,6,8,3,42,Carrier Delay
DD000275,FL000968,17,10,0,0,3,30,Carrier Delay
DD000276,FL000973,2,3,0,17,2,24,Security Delay
DD000277,FL000976,2,0,0,62,0,64,Security Delay
DD000278,FL000979,0,0,0,10,33,43,Late Aircraft Delay
DD000279,FL000985,1,37,9,9,1,57,Weather Delay
DD000280,FL000990,0,1,8,18,0,27,Security Delay
DD000281,FL000993,0,28,13,38,10,89,Security Delay
DD000282,FL000996,7,5,8,4,2,26,NAS Delay
DD000283,FL000998,10,6,1,4,5,26,Carrier Delay
DD000284,FL001002,0,1,7,8,1,17,Security Delay
DD000285,FL001004,63,83,0,0,48,194,Weather Delay
DD000286,FL001005,33,3,0,2,0,38,Carrier Delay
DD000287,FL001010,0,39,4,0,0,43,Weather Delay
DD000288,FL001012,14,3,1,1,8,27,Carrier Delay
DD000289,FL001020,0,6,5,6,0,17,Security Delay
DD000290,FL001023,5,0,0,7,6,18,Security Delay
DD000291,FL001024,2,9,4,11,27,53,Late Aircraft Delay
DD000292,FL001028,19,4,1,2,6,32,Carrier Delay
DD000293,FL001034,5,16,0,4,2,27,Weather Delay
DD000294,FL001043,25,4,33,0,6,68,NAS Delay
DD000295,FL001045,10,23,47,87,2,169,Security Delay
DD000296,FL001047,1,4,5,20,0,30,Security Delay
DD000297,FL001048,16,7,1,0,0,24,Carrier Delay
DD000298,FL001051,3,14,2,3,6,28,Weather Delay
DD000299,FL001054,0,5,129,87,0,221,NAS Delay
DD000300,FL001057,96,0,31,15,9,151,Carrier Delay
DD000301,FL001058,17,2,0,0,0,19,Carrier Delay
DD000302,FL001060,0,14,0,0,14,28,Late Aircraft Delay
DD000303,FL001063,2,2,4,0,7,15,Late Aircraft Delay
DD000304,FL001065,0,39,1,1,34,75,Weather Delay
DD000305,FL001068,0,1,1,1,16,19,Late Aircraft Delay
DD000306,FL001072,4,5,1,0,36,46,Late Aircraft Delay
DD000307,FL001076,0,4,27,2,0,33,NAS Delay
DD000308,FL001079,3,0,9,8,5,25,NAS Delay
DD000309,FL001080,3,1,136,0,5,145,NAS Delay
DD000310,FL001094,21,18,1,5,10,55,Carrier Delay
DD000311,FL001097,0,1,12,2,0,15,NAS Delay
DD000312,FL001099,4,0,0,0,17,21,Late Aircraft Delay
DD000313,FL001102,0,7,4,1,10,22,Late Aircraft Delay
DD000314,FL001103,0,0,8,0,15,23,Late Aircraft Delay
DD000315,FL001105,1,24,36,1,1,63,NAS Delay
DD000316,FL001113,2,2,1,1,14,20,Late Aircraft Delay
DD000317,FL001116,3,0,15,1,1,20,NAS Delay
DD000318,FL001121,0,224,0,0,0,224,Weather Delay
DD000319,FL001126,5,9,6,11,17,48,Late Aircraft Delay
DD000320,FL001129,1,17,0,0,0,18,Weather Delay
DD000321,FL001134,0,22,0,9,57,88,Late Aircraft Delay
DD000322,FL001138,10,0,0,2,5,17,Carrier Delay
DD000323,FL001144,4,0,0,16,2,22,Security Delay
DD000324,FL001146,0,0,8,0,10,18,Late Aircraft Delay
DD000325,FL001163,11,49,12,3,8,83,Weather Delay
DD000326,FL001165,0,0,17,0,0,17,NAS Delay
DD000327,FL001167,127,18,9,20,22,196,Carrier Delay
DD000328,FL001171,39,0,1,1,9,50,Carrier Delay
DD000329,FL001172,1,0,9,14,0,24,Security Delay
DD000330,FL001173,0,0,0,0,16,16,Late Aircraft Delay
DD000331,FL001187,2,15,3,2,0,22,Weather Delay
DD000332,FL001191,38,1,1,7,1,48,Carrier Delay
DD000333,FL001193,0,14,2,14,0,30,Security Delay
DD000334,FL001194,3,31,15,30,17,96,Weather Delay
DD000335,FL001198,39,19,156,5,8,227,NAS Delay
DD000336,FL001201,1,3,11,0,2,17,NAS Delay
DD000337,FL001203,1,3,18,0,4,26,NAS Delay
DD000338,FL001209,5,2,7,3,0,17,NAS Delay
DD000339,FL001217,7,13,18,0,0,38,NAS Delay
DD000340,FL001223,9,0,7,0,0,16,Carrier Delay
DD000341,FL001235,3,4,1,3,12,23,Late Aircraft Delay
DD000342,FL001236,0,34,0,14,0,48,Weather Delay
DD000343,FL001237,0,0,0,0,33,33,Late Aircraft Delay
DD000344,FL001239,4,77,4,5,0,90,Weather Delay
DD000345,FL001241,2,3,0,1,10,16,Late Aircraft Delay
DD000346,FL001249,17,0,0,0,0,17,Carrier Delay
DD000347,FL001251,11,4,3,0,0,18,Carrier Delay
DD000348,FL001254,0,0,0,15,3,18,Security Delay
DD000349,FL001255,1,5,1,19,0,26,Security Delay
DD000350,FL001270,0,1,24,2,16,43,NAS Delay
DD000351,FL001271,17,10,6,33,5,71,Security Delay
DD000352,FL001278,9,5,23,1,42,80,Late Aircraft Delay
DD000353,FL001282,0,17,2,3,2,24,Weather Delay
DD000354,FL001287,3,11,13,18,52,97,Late Aircraft Delay
DD000355,FL001289,7,8,2,2,1,20,Weather Delay
DD000356,FL001290,14,3,9,1,8,35,Carrier Delay
DD000357,FL001292,1,11,5,4,13,34,Late Aircraft Delay
DD000358,FL001301,1,12,0,1,7,21,Weather Delay
DD000359,FL001302,2,1,5,5,2,15,NAS Delay
DD000360,FL001303,13,0,0,9,1,23,Carrier Delay
DD000361,FL001307,0,19,13,0,0,32,Weather Delay
DD000362,FL001309,6,1,1,0,15,23,Late Aircraft Delay
DD000363,FL001311,0,1,0,17,0,18,Security Delay
DD000364,FL001316,4,1,7,13,2,27,Security Delay
DD000365,FL001318,0,0,0,0,18,18,Late Aircraft Delay
DD000366,FL001321,10,0,1,6,2,19,Carrier Delay
DD000367,FL001323,11,1,4,3,9,28,Carrier Delay
DD000368,FL001326,0,2,1,4,8,15,Late Aircraft Delay
DD000369,FL001329,3,1,0,2,33,39,Late Aircraft Delay
DD000370,FL001332,24,2,1,0,0,27,Carrier Delay
DD000371,FL001333,4,27,35,33,16,115,NAS Delay
DD000372,FL001340,0,9,0,1,7,17,Weather Delay
DD000373,FL001344,3,0,5,0,9,17,Late Aircraft Delay
DD000374,FL001345,5,21,37,0,0,63,NAS Delay
DD000375,FL001355,6,0,0,2,18,26,Late Aircraft Delay
DD000376,FL001357,12,8,15,2,14,51,NAS Delay
DD000377,FL001370,0,2,5,0,9,16,Late Aircraft Delay
DD000378,FL001372,1,2,0,10,5,18,Security Delay
DD000379,FL001373,0,0,33,2,0,35,NAS Delay
DD000380,FL001375,0,5,1,2,10,18,Late Aircraft Delay
DD000381,FL001376,5,1,8,9,1,24,Security Delay
DD000382,FL001381,6,3,38,5,0,52,NAS Delay
DD000383,FL001387,0,5,6,2,2,15,NAS Delay
DD000384,FL001390,8,16,6,6,2,38,Weather Delay
DD000385,FL001391,97,15,10,17,1,140,Carrier Delay
DD000386,FL001401,0,1,0,73,18,92,Security Delay
DD000387,FL001410,5,27,0,1,0,33,Weather Delay
DD000388,FL001414,20,0,5,16,0,41,Carrier Delay
DD000389,FL001416,0,0,0,21,0,21,Security Delay
DD000390,FL001417,2,33,0,0,0,35,Weather Delay
DD000391,FL001419,0,19,0,0,0,19,Weather Delay
DD000392,FL001429,1,5,0,11,0,17,Security Delay
DD000393,FL001434,2,43,0,1,0,46,Weather Delay
DD000394,FL001435,0,55,4,0,0,59,Weather Delay
DD000395,FL001436,26,4,0,3,0,33,Carrier Delay
DD000396,FL001441,1,0,2,2,38,43,Late Aircraft Delay
DD000397,FL001442,2,4,15,12,1,34,NAS Delay
DD000398,FL001443,2,1,5,0,39,47,Late Aircraft Delay
DD000399,FL001445,36,42,10,44,2,134,Security Delay
DD000400,FL001446,4,1,10,3,0,18,NAS Delay
DD000401,FL001449,3,5,0,2,18,28,Late Aircraft Delay
DD000402,FL001451,0,2,2,14,17,35,Late Aircraft Delay
DD000403,FL001458,0,3,18,1,165,187,Late Aircraft Delay
DD000404,FL001462,19,4,24,53,15,115,Security Delay
DD000405,FL001463,6,6,4,7,3,26,Security Delay
DD000406,FL001465,2,3,13,3,1,22,NAS Delay
DD000407,FL001468,0,6,9,4,3,22,NAS Delay
DD000408,FL001472,23,2,0,2,0,27,Carrier Delay
DD000409,FL001474,27,22,13,4,23,89,Carrier Delay
DD000410,FL001476,12,17,0,2,1,32,Weather Delay
DD000411,FL001479,7,3,1,10,5,26,Security Delay
DD000412,FL001480,1,3,17,9,6,36,NAS Delay
DD000413,FL001481,1,0,14,2,94,111,Late Aircraft Delay
DD000414,FL001482,4,133,0,1,2,140,Weather Delay
DD000415,FL001487,2,20,0,12,0,34,Weather Delay
DD000416,FL001491,0,7,1,40,7,55,Security Delay
DD000417,FL001492,1,0,1,20,1,23,Security Delay
DD000418,FL001498,0,8,7,11,2,28,Security Delay
DD000419,FL001500,11,0,0,10,4,25,Carrier Delay
DD000420,FL001501,0,2,1,46,22,71,Security Delay
DD000421,FL001504,0,24,0,28,0,52,Security Delay
DD000422,FL001506,32,1,15,30,6,84,Carrier Delay
DD000423,FL001509,5,0,0,33,0,38,Security Delay
DD000424,FL001515,0,0,1,0,17,18,Late Aircraft Delay
DD000425,FL001516,15,1,1,4,1,22,Carrier Delay
DD000426,FL001518,0,5,3,5,15,28,Late Aircraft Delay
DD000427,FL001520,7,9,0,0,1,17,Weather Delay
DD000428,FL001521,19,2,29,31,1,82,Security Delay
DD000429,FL001522,10,0,2,2,7,21,Carrier Delay
DD000430,FL001523,4,14,0,0,30,48,Late Aircraft Delay
DD000431,FL001526,1,2,1,24,0,28,Security Delay
DD000432,FL001531,0,9,2,4,23,38,Late Aircraft Delay
DD000433,FL001533,10,3,1,4,4,22,Carrier Delay
DD000434,FL001534,7,28,0,4,1,40,Weather Delay
DD000435,FL001541,4,0,7,6,5,22,NAS Delay
DD000436,FL001549,17,15,3,0,2,37,Carrier Delay
DD000437,FL001552,1,17,2,0,0,20,Weather Delay
DD000438,FL001554,1,1,0,10,8,20,Security Delay
DD000439,FL001556,9,0,1,8,1,19,Carrier Delay
DD000440,FL001563,3,3,10,0,2,18,NAS Delay
DD000441,FL001565,0,0,0,3,27,30,Late Aircraft Delay
DD000442,FL001567,8,0,25,1,0,34,NAS Delay
DD000443,FL001570,5,2,1,7,19,34,Late Aircraft Delay
DD000444,FL001575,19,0,0,9,0,28,Carrier Delay
DD000445,FL001576,18,17,11,26,10,82,Security Delay
DD000446,FL001577,15,1,23,3,0,42,NAS Delay
DD000447,FL001586,21,21,1,5,3,51,Carrier Delay
DD000448,FL001589,19,3,1,39,7,69,Security Delay
DD000449,FL001590,0,0,5,17,0,22,Security Delay
DD000450,FL001591,6,2,2,0,8,18,Late Aircraft Delay
DD000451,FL001592,40,1,1,2,0,44,Carrier Delay
DD000452,FL001593,3,16,12,22,0,53,Security Delay
DD000453,FL001595,6,10,16,4,1,37,NAS Delay
DD000454,FL001596,0,0,0,0,18,18,Late Aircraft Delay
DD000455,FL001599,1,13,6,0,0,20,Weather Delay
DD000456,FL001601,7,0,4,11,2,24,Security Delay
DD000457,FL001602,2,0,8,0,31,41,Late Aircraft Delay
DD000458,FL001603,5,1,0,10,14,30,Late Aircraft Delay
DD000459,FL001606,23,1,0,14,45,83,Late Aircraft Delay
DD000460,FL001608,18,2,2,0,0,22,Carrier Delay
DD000461,FL001609,2,4,6,3,0,15,NAS Delay
DD000462,FL001610,12,4,0,2,0,18,Carrier Delay
DD000463,FL001613,0,9,0,21,1,31,Security Delay
DD000464,FL001619,2,8,1,6,13,30,Late Aircraft Delay
DD000465,FL001621,32,1,4,9,12,58,Carrier Delay
